uniqid,lat,long,timestamp
124,30.1743,-97.8266,11/17/17 16:03
125,42.0717,-94.8767,11/17/17 12:20
126,33.0715,-117.071,11/17/17 14:30
127,29.2227,-82.1467,11/17/17 12:28
128,34.3401,-79.533,11/17/17 9:47
129,40.7852,-77.83,11/17/17 9:12
130,30.7827,-85.2466,11/16/17 20:10
131,31.8066,-95.1521,11/16/17 19:10
132,34.9916,-86.8406,11/16/17 17:41
133,39.3665,-101.056,11/16/17 17:36
134,39.2744,-81.5814,11/16/17 16:36
135,26.192,-98.1214,11/15/17 17:24
136,29.7034,-95.587,11/16/17 13:35
137,28.1806,-81.4397,11/16/17 11:34
138,42.0219,-93.6109,11/16/17 11:22
139,39.9266,-86.1586,11/16/17 10:08
140,40.4957,-80.2563,11/15/17 22:40
141,29.7765,-95.8316,11/15/17 20:12
142,29.7856,-95.8225,11/15/17 19:13
143,30.7488,-85.3825,11/15/17 17:57
144,27.7524,-98.0821,11/15/17 17:18
145,34.7545,-82.2668,11/15/17 15:38
146,40.5099,-88.9562,11/15/17 15:19
147,32.8791,-97.381,11/15/17 14:41
148,33.161,-84.8744,11/15/17 13:57
149,38.2116,-85.5975,11/15/17 12:20
150,38.6762,-90.2507,11/15/17 11:26
151,35.9725,-87.1283,11/14/17 21:41
152,36.1248,-86.7515,11/14/17 21:01
153,43.5289,-96.687,11/11/17 12:32
154,33.8008,-116.521,11/14/17 15:09
155,41.0362,-78.4008,11/14/17 14:28
156,40.2194,-85.4314,11/14/17 13:51
157,35.8192,-78.6248,11/14/17 10:27
158,29.1817,-95.4323,11/14/17 5:00
159,30.5353,-97.6906,11/13/17 19:51
160,30.006,-90.2387,11/13/17 19:26
161,34.8912,-116.999,11/13/17 17:52
162,28.4915,-81.4296,11/13/17 16:31
163,31.6052,-97.1076,11/13/17 16:04
164,35.9978,-94.1978,11/13/17 16:03
165,34.2074,-82.1887,11/13/17 15:13
166,30.3992,-97.7469,11/13/17 13:06
167,33.746,-117.822,11/13/17 13:05
168,41.8795,-87.6336,11/13/17 12:59
169,34.1085,-82.8608,11/13/17 11:26
170,36.3257,-86.7017,11/13/17 11:16
171,39.1872,-86.5337,11/13/17 10:44
172,43.1935,-88.1274,11/13/17 10:35
173,28.6598,-81.4197,11/13/17 9:43
174,35.0574,-98.255,11/12/17 13:50
175,29.5483,-98.292,11/12/17 17:55
176,31.9626,-95.2696,11/12/17 17:47
177,34.8912,-116.999,11/12/17 14:25
178,44.5786,-91.2087,11/12/17 12:35
179,29.9562,-82.9238,11/12/17 12:04
180,43.2214,-88.1069,11/12/17 11:42
181,40.0614,-81.0542,11/12/17 10:46
182,36.2199,-86.6945,11/12/17 8:50
183,28.4521,-81.3369,11/11/17 20:54
184,28.2622,-81.6186,11/11/17 18:39
185,29.7831,-95.7531,11/11/17 17:54
186,30.3386,-97.7557,11/11/17 17:38
187,34.2618,-77.8292,11/11/17 16:19
188,34.6745,-118.153,11/11/17 15:15
189,33.5661,-117.708,11/11/17 14:50
190,43.1021,-89.346,11/11/17 14:38
191,40.1913,-85.3813,11/11/17 14:18
192,40.371,-80.6869,11/11/17 13:47
193,32.6603,-117.034,11/11/17 13:39
194,34.0435,-118.422,11/11/17 13:17
195,38.6998,-80.664,11/11/17 12:04
196,33.5285,-101.868,11/11/17 11:50
197,34.3401,-79.533,11/11/17 11:07
198,34.7515,-92.3418,11/11/17 10:58
199,29.9288,-90.0911,11/11/17 10:56
200,42.9018,-78.6837,11/11/17 10:26
201,32.7626,-97.4831,11/11/17 9:22
202,39.93,-77.9902,11/11/17 6:12
203,31.8598,-106.559,11/11/17 1:51
204,42.1046,-91.2662,11/10/17 21:52
205,44.0302,-92.6302,11/10/17 21:19
206,34.2825,-118.68,11/10/17 20:44
207,38.2585,-85.6394,11/10/17 20:25
208,33.797,-117.836,11/10/17 19:26
209,44.005,-92.475,11/10/17 19:15
210,38.9426,-94.7016,11/10/17 18:58
211,32.9458,-96.7028,11/10/17 18:38
212,38.3548,-87.5921,11/10/17 18:36
213,40.5661,-90.0342,11/10/17 18:21
214,32.545,-117.039,11/10/17 17:33
215,33.8109,-118.291,11/10/17 15:32
216,38.538,-91.002,11/10/17 14:28
217,43.1285,-89.3588,11/10/17 12:27
218,28.4238,-81.4613,11/10/17 11:27
219,42.051,-87.9782,11/10/17 11:15
220,32.7209,-96.8894,11/10/17 10:42
221,34.4939,-85.336,11/10/17 9:41
222,43.0606,-87.9956,11/10/17 9:34
223,29.981,-90.179,11/10/17 8:39
224,21.3398,-158.077,11/10/17 0:38
225,41.1401,-95.9678,11/9/17 22:30
226,34.4812,-82.6631,11/9/17 22:11
227,29.0617,-81.3023,11/9/17 22:06
228,33.892,-117.206,11/9/17 21:57
229,34.1502,-118.091,11/9/17 21:56
230,29.5677,-95.2867,11/9/17 21:54
231,33.9489,-118.166,11/9/17 19:17
232,41.6284,-86.1732,11/9/17 18:14
233,36.0052,-80.4403,11/9/17 17:58
234,30.6608,-88.1911,11/9/17 16:45
235,37.1083,-79.2916,11/9/17 16:41
236,29.6641,-95.1238,11/9/17 13:58
237,43.4725,-89.7684,11/9/17 15:44
238,42.2803,-89.2431,11/9/17 7:36
239,32.7429,-117.044,11/9/17 14:01
240,29.9048,-96.9104,11/9/17 12:37
241,38.9925,-94.713,11/9/17 12:35
242,38.3609,-90.9774,11/9/17 11:58
243,43.0759,-89.4548,11/9/17 11:39
244,28.5008,-81.7184,11/9/17 11:19
245,29.0797,-82.2556,11/9/17 11:03
246,43.1685,-88.103,11/9/17 10:49
247,30.072,-81.8644,11/9/17 10:38
248,32.8013,-96.628,11/9/17 10:23
249,48.2087,-101.313,11/9/17 9:55
250,36.6965,-93.3658,11/9/17 9:02
251,28.0793,-80.6617,11/9/17 7:01
252,30.0437,-89.9583,11/9/17 6:57
253,34.4928,-118.197,11/8/17 22:10
254,32.8636,-90.3943,11/8/17 20:23
255,43.3207,-87.9225,11/8/17 18:57
256,33.9906,-117.34,11/8/17 18:54
257,45.4596,-98.4635,11/8/17 18:53
258,43.4757,-88.8233,11/8/17 18:51
259,41.0748,-85.1456,11/8/17 12:19
260,30.6674,-96.3714,11/8/17 17:38
261,30.5598,-97.6859,11/8/17 17:08
262,38.198,-84.8298,11/8/17 16:52
263,32.8404,-96.597,11/8/17 16:26
264,29.7755,-95.4273,11/8/17 14:20
265,29.6591,-82.4073,11/8/17 14:10
266,29.6992,-95.1233,11/8/17 13:13
267,34.1502,-118.091,11/8/17 12:55
268,40.4311,-86.9131,11/8/17 12:30
269,30.0385,-89.9757,11/8/17 11:41
270,33.0718,-97.0231,11/8/17 11:33
271,36.1906,-86.7993,11/8/17 11:31
272,30.3062,-97.9371,11/8/17 11:24
273,40.6009,-79.1947,11/8/17 11:03
274,34.8736,-82.3298,11/8/17 10:34
275,32.8112,-96.62,11/8/17 10:16
276,42.7037,-87.8264,11/8/17 9:22
277,30.1028,-81.7117,11/8/17 9:18
278,37.7369,-84.3109,11/8/17 9:13
279,36.0083,-83.975,11/7/17 23:40
280,34.0481,-117.242,11/7/17 20:05
281,42.4561,-98.6328,11/7/17 19:58
282,42.0231,-97.4261,11/7/17 19:57
283,46.8944,-102.788,11/7/17 19:51
284,46.8294,-100.727,11/7/17 19:49
285,42.6806,-88.0505,11/7/17 19:41
286,33.1373,-94.9677,11/7/17 19:30
287,30.2217,-85.8873,11/7/17 19:29
288,39.4332,-88.3775,11/7/17 19:24
289,30.1141,-93.8214,11/7/17 18:58
290,32.8963,-97.0446,11/7/17 18:55
291,46.8357,-100.772,11/7/17 15:22
292,32.9248,-96.8821,11/7/17 18:12
293,34.0806,-118.261,11/7/17 18:08
294,42.1745,-88.3347,11/7/17 17:51
295,32.9155,-117.13,11/7/17 17:45
296,34.8283,-82.3463,11/7/17 16:58
297,33.9158,-118.397,11/7/17 16:05
298,43.5319,-89.9869,11/7/17 15:56
299,32.831,-117.136,11/7/17 15:06
300,37.2041,-93.2614,11/7/17 14:54
301,32.7216,-96.8577,11/7/17 14:42
302,40.3988,-80.0264,11/7/17 14:29
303,38.6651,-87.5112,11/7/17 14:21
304,40.2187,-85.3762,11/7/17 13:55
305,40.1725,-84.9658,11/7/17 13:55
306,33.5172,-88.4342,11/7/17 13:39
307,42.0235,-87.897,11/7/17 13:16
308,42.0649,-87.8001,11/7/17 13:10
309,41.8957,-87.6776,11/7/17 12:39
310,46.872,-96.7676,11/7/17 12:36
311,37.9692,-87.4938,11/7/17 12:32
312,35.378,-83.213,11/7/17 12:08
313,41.4391,-97.367,11/7/17 10:45
314,41.0497,-92.4118,11/7/17 10:08
315,41.7044,-88.1265,11/7/17 11:23
316,43.3181,-88.3538,11/7/17 11:19
317,35.0887,-80.9314,11/7/17 10:39
318,34.7545,-82.2668,11/7/17 11:02
319,41.6617,-86.1354,11/7/17 11:00
320,40.6806,-80.3015,11/7/17 10:45
321,47.9101,-97.0445,11/7/17 10:43
322,43.2071,-78.3988,11/7/17 10:39
323,38.637,-90.1953,11/7/17 10:35
324,30.07,-95.4492,11/7/17 10:35
