Zip/ZCTA,2010 Population,Land-Sq-Mi,Density Per Sq Mile
19602,17900,2.471,7244.030757
55805,10194,1.411,7224.663359
91754,32742,4.532,7224.62489
97213,29219,4.045,7223.485785
2171,17711,2.452,7223.083197
22904,4633,0.642,7216.510903
90504,32102,4.451,7212.31184
48235,45063,6.251,7208.926572
97215,16375,2.272,7207.306338
15219,16696,2.317,7205.869659
21214,20564,2.854,7205.325858
20782,30560,4.242,7204.148986
80010,39728,5.515,7203.626473
10503,108,0.015,7200
33055,43194,6.003,7195.402299
7643,10626,1.477,7194.312796
90232,15149,2.106,7193.25736
33134,37456,5.209,7190.631599
44120,38196,5.314,7187.805796
7646,16341,2.274,7186.015831
10307,14096,1.962,7184.505607
94806,59861,8.334,7182.74538
15211,11081,1.544,7176.813472
1108,26688,3.723,7168.412571
95124,47082,6.571,7165.119464
94301,16995,2.372,7164.839798
15217,27220,3.806,7151.865476
95062,36079,5.047,7148.603131
55104,43248,6.058,7138.989766
90220,49328,6.911,7137.606714
90605,40331,5.652,7135.704176
90263,1612,0.226,7132.743363
53205,10050,1.413,7112.526539
95814,9922,1.396,7107.449857
11362,17823,2.509,7103.626943
48221,38727,5.452,7103.264857
91423,30991,4.363,7103.140041
77080,45275,6.383,7093.05969
1905,25251,3.56,7092.977528
19405,5127,0.723,7091.286307
21206,50846,7.175,7086.550523
91911,82999,11.713,7086.058226
77076,33803,4.773,7082.12864
92833,51767,7.311,7080.700315
20886,33282,4.701,7079.770262
95008,45260,6.393,7079.618333
89142,33731,4.77,7071.48847
2155,57964,8.197,7071.367574
48109,6904,0.977,7066.530194
11710,34496,4.885,7061.617195
90620,45113,6.395,7054.417514
19033,7777,1.103,7050.770626
70118,33008,4.684,7046.968403
90230,31766,4.508,7046.583851
91766,71599,10.167,7042.293695
8103,15190,2.157,7042.188224
94403,39642,5.631,7039.957379
89104,39909,5.67,7038.624339
91763,36375,5.171,7034.422742
98403,7713,1.097,7030.993619
29401,10895,1.551,7024.500322
48206,21954,3.126,7023.03263
7720,4298,0.612,7022.875817
80211,31583,4.499,7020.004445
1854,27606,3.934,7017.285206
7065,27346,3.897,7017.192712
14608,12268,1.749,7014.293882
98115,46206,6.588,7013.661202
33168,25792,3.68,7008.695652
37201,2137,0.305,7006.557377
10573,38352,5.476,7003.652301
75254,23253,3.321,7001.806685
7062,12949,1.852,6991.900648
95843,45048,6.448,6986.352357
14605,12610,1.807,6978.417266
33140,21210,3.041,6974.679382
33322,37858,5.438,6961.750644
7075,7626,1.096,6958.029197
53216,32264,4.638,6956.446744
89121,64096,9.218,6953.352137
21212,32322,4.65,6950.967742
63101,2620,0.377,6949.602122
90602,25777,3.711,6946.106171
30326,4802,0.692,6939.306358
8880,4563,0.658,6934.650456
23173,2820,0.407,6928.746929
19401,41753,6.032,6921.916446
53218,40625,5.872,6918.426431
20784,29449,4.257,6917.782476
11552,23616,3.415,6915.373353
33175,53206,7.699,6910.767632
94707,11710,1.695,6908.554572
70113,7025,1.017,6907.571288
94124,33996,4.926,6901.339829
48205,44045,6.383,6900.360332
90745,57251,8.3,6897.710843
10708,21225,3.078,6895.711501
60459,28929,4.197,6892.780558
94805,13648,1.983,6882.501261
45410,15339,2.229,6881.561238
98125,37081,5.39,6879.591837
16503,16850,2.451,6874.745002
11590,45768,6.658,6874.136377
77083,70837,10.308,6872.041133
55101,5592,0.814,6869.77887
14214,19775,2.879,6868.704411
92646,55224,8.046,6863.534676
11507,7406,1.08,6857.407407
89169,23304,3.4,6854.117647
7040,23876,3.485,6851.07604
53219,33880,4.947,6848.595108
60505,76573,11.183,6847.268175
77074,37267,5.443,6846.775675
44123,17637,2.576,6846.661491
92782,23032,3.367,6840.510841
98118,42731,6.249,6838.054089
11096,8344,1.222,6828.150573
33020,41329,6.053,6827.853957
15216,23350,3.423,6821.501607
12308,15335,2.249,6818.586038
10709,9292,1.363,6817.314747
80231,32127,4.715,6813.78579
1901,1689,0.248,6810.483871
95050,35923,5.277,6807.466363
60643,49952,7.347,6798.965564
6114,27449,4.042,6790.945077
20032,35653,5.255,6784.586108
45207,7974,1.176,6780.612245
7042,25599,3.776,6779.396186
60088,15761,2.325,6778.924731
77502,37995,5.614,6767.901674
1852,33508,4.953,6765.192812
91764,54086,7.997,6763.286232
32839,50279,7.449,6749.765069
55411,27428,4.065,6747.355474
98402,6356,0.942,6747.346072
93035,27732,4.114,6740.884784
93703,31868,4.728,6740.270728
15203,9949,1.478,6731.393775
98126,20698,3.075,6731.056911
2905,25223,3.748,6729.722519
19043,2664,0.396,6727.272727
11757,45700,6.795,6725.533481
91325,32417,4.821,6724.123626
60453,56855,8.456,6723.628193
89147,49778,7.415,6713.149022
19070,7277,1.084,6713.099631
94066,41130,6.129,6710.71953
6607,7843,1.169,6709.153122
89501,4252,0.634,6706.624606
40203,19694,2.941,6696.361782
11598,13328,1.992,6690.763052
32612,5458,0.816,6688.72549
45205,19389,2.899,6688.168334
78040,42083,6.3,6679.84127
70130,14064,2.106,6678.062678
85019,25042,3.75,6677.866667
89102,35759,5.361,6670.210782
98112,21077,3.16,6669.936709
37614,2107,0.316,6667.721519
36590,20,0.003,6666.666667
94544,73026,10.957,6664.780506
60077,26825,4.026,6662.940884
95010,9137,1.372,6659.620991
96813,22881,3.441,6649.520488
28533,2952,0.444,6648.648649
63105,17667,2.658,6646.726862
78225,13025,1.961,6642.019378
77005,25528,3.845,6639.271782
89107,36282,5.465,6638.975297
95820,34480,5.194,6638.428956
92083,36975,5.571,6637.049004
60203,4523,0.682,6631.964809
33014,40654,6.133,6628.729822
19116,33112,5.005,6615.784216
60628,72202,10.92,6611.904762
94618,16046,2.427,6611.454471
95207,47965,7.256,6610.3914
8108,18045,2.73,6609.89011
14223,22665,3.432,6604.020979
7666,39776,6.027,6599.634976
33023,63576,9.636,6597.758406
85006,25742,3.904,6593.75
18510,14119,2.144,6585.354478
33460,30790,4.681,6577.654347
95825,31084,4.727,6575.840914
87108,38647,5.878,6574.855393
75231,37052,5.636,6574.166075
91733,43896,6.68,6571.257485
94579,20571,3.133,6565.911267
92663,21649,3.298,6564.281383
93905,61087,9.307,6563.554314
20903,23625,3.602,6558.856191
17954,4564,0.696,6557.471264
33173,33141,5.057,6553.490212
16444,1717,0.262,6553.435115
80260,31412,4.795,6550.990615
33132,11165,1.706,6544.548652
33138,27571,4.217,6538.060232
41014,6942,1.062,6536.723164
16502,16664,2.551,6532.340259
95376,49859,7.635,6530.320891
91942,38069,5.834,6525.368529
15140,3294,0.505,6522.772277
48146,38098,5.855,6506.917165
2460,8742,1.344,6504.464286
19032,6606,1.016,6501.968504
95125,51939,7.989,6501.314307
89085,3367,0.518,6500
75201,9409,1.448,6497.928177
55410,19340,2.977,6496.472959
85301,60161,9.271,6489.159745
91945,25460,3.924,6488.277268
33190,11593,1.787,6487.409065
60655,28550,4.405,6481.271283
90731,59662,9.207,6480.069512
11566,35321,5.452,6478.539985
33147,46933,7.248,6475.303532
20901,34832,5.385,6468.337976
15208,10406,1.609,6467.371038
91403,23484,3.632,6465.859031
98337,6697,1.037,6458.052073
19083,35878,5.557,6456.361346
90744,53815,8.336,6455.734165
18701,3447,0.534,6455.05618
53213,26020,4.035,6448.574969
19003,12519,1.942,6446.446962
20902,48841,7.579,6444.253859
22044,14092,2.187,6443.52995
75240,24296,3.772,6441.145281
99504,40914,6.363,6429.985856
49507,35459,5.518,6426.060167
98136,14770,2.299,6424.532405
2721,26290,4.093,6423.161495
7070,18061,2.812,6422.830725
55406,32112,5.001,6421.115777
39406,1759,0.274,6419.708029
93304,48731,7.595,6416.194865
92411,26214,4.088,6412.426614
78201,45307,7.072,6406.532805
90305,14853,2.319,6404.915912
80220,33529,5.236,6403.55233
89110,70994,11.107,6391.824975
85051,40375,6.317,6391.483299
30309,21845,3.418,6391.164424
48201,12814,2.005,6391.022444
11572,30574,4.785,6389.550679
33319,44420,6.959,6383.10102
44106,26896,4.216,6379.506641
89031,60589,9.499,6378.460891
58076,236,0.037,6378.378378
44111,39778,6.242,6372.636975
14220,24227,3.803,6370.496976
75243,55406,8.7,6368.505747
80205,29221,4.589,6367.618217
