Zip/ZCTA,2010 Population,Land-Sq-Mi,Density Per Sq Mile
33469,14449,11.452,1261.701013
28159,3108,2.465,1260.851927
60633,12927,10.256,1260.432917
97068,28305,22.465,1259.959938
7869,25291,20.078,1259.637414
15472,306,0.243,1259.259259
15046,2640,2.097,1258.941345
18517,5274,4.193,1257.810637
76051,46320,36.829,1257.704526
47869,137,0.109,1256.880734
48346,22567,17.96,1256.514477
43531,216,0.172,1255.813953
84042,10094,8.038,1255.785021
66106,23367,18.609,1255.682734
15015,1175,0.936,1255.34188
16066,28060,22.354,1255.25633
41183,1618,1.289,1255.236618
13157,695,0.555,1252.252252
19606,34416,27.499,1251.53642
32164,41616,33.254,1251.458471
32578,30108,24.071,1250.799718
28072,1357,1.085,1250.691244
37138,22191,17.747,1250.40852
28280,10,0.008,1250
7960,43747,35.019,1249.236129
44039,29563,23.674,1248.753907
19707,16483,13.201,1248.617529
21842,11089,8.889,1247.496906
95258,4018,3.223,1246.664598
50160,465,0.373,1246.648794
94556,15229,12.228,1245.420347
29611,28799,23.124,1245.416018
21664,539,0.433,1244.803695
60464,9620,7.732,1244.180031
85608,2305,1.853,1243.928764
15017,16213,13.044,1242.946949
61761,52879,42.544,1242.924972
55127,16782,13.504,1242.742891
7803,3651,2.941,1241.414485
20629,535,0.431,1241.299304
49444,29456,23.75,1240.252632
34711,51847,41.837,1239.261897
43030,114,0.092,1239.130435
20774,43013,34.723,1238.746652
15056,1140,0.921,1237.785016
53808,1049,0.848,1237.028302
60069,8384,6.782,1236.213506
62203,8209,6.651,1234.250489
25302,15078,12.221,1233.777923
69353,37,0.03,1233.333333
79762,39056,31.676,1232.983963
36603,7922,6.426,1232.804233
60112,4560,3.699,1232.765612
30294,39865,32.361,1231.884058
98072,22312,18.128,1230.803177
33948,15958,12.967,1230.662451
46530,30614,24.883,1230.317888
36688,659,0.536,1229.477612
92545,39457,32.129,1228.08055
10535,555,0.452,1227.876106
92651,23881,19.463,1226.994811
2919,28790,23.485,1225.888865
35601,34434,28.096,1225.583713
11716,10700,8.732,1225.37792
15359,174,0.142,1225.352113
7760,9283,7.577,1225.155075
24448,376,0.307,1224.7557
33070,5344,4.365,1224.284078
20686,1332,1.088,1224.264706
68005,22132,18.079,1224.182753
15135,5139,4.198,1224.154359
8852,17220,14.069,1223.967588
34134,14112,11.533,1223.61918
52312,115,0.094,1223.404255
7751,19736,16.134,1223.255237
7849,9054,7.402,1223.182924
95030,12791,10.46,1222.848948
78223,50637,41.41,1222.820575
76306,15991,13.08,1222.553517
99824,2111,1.727,1222.350898
37918,42835,35.061,1221.727846
33559,15427,12.631,1221.360146
31405,37207,30.464,1221.343225
37922,33180,27.204,1219.673577
78205,1453,1.192,1218.959732
92394,33237,27.283,1218.231133
68123,27926,22.927,1218.039866
13319,1079,0.886,1217.832957
48393,16111,13.23,1217.762661
47584,179,0.147,1217.687075
19312,11539,9.479,1217.322502
77566,28739,23.631,1216.156743
77591,13131,10.8,1215.833333
60436,18315,15.066,1215.651135
95746,21460,17.657,1215.382001
44223,18185,14.969,1214.844011
4064,8212,6.764,1214.074512
85750,24161,19.908,1213.63271
70817,31192,25.718,1212.847033
43036,258,0.213,1211.267606
6518,19848,16.387,1211.204003
28405,29152,24.069,1211.184511
48167,21534,17.783,1210.931789
31410,23654,19.54,1210.542477
34286,17970,14.847,1210.345524
70047,13006,10.756,1209.185571
32819,24976,20.662,1208.789081
53154,34451,28.501,1208.764605
45716,469,0.388,1208.762887
29329,278,0.23,1208.695652
1028,15720,13.006,1208.67292
44319,22686,18.785,1207.665691
43926,285,0.236,1207.627119
37086,31513,26.095,1207.625982
78726,13122,10.868,1207.397865
44067,20441,16.93,1207.383343
32824,37401,30.981,1207.223782
92135,571,0.473,1207.188161
84401,35622,29.513,1206.993528
6416,14005,11.61,1206.287683
33579,25723,21.342,1205.275982
97060,21226,17.612,1205.200999
63131,16769,13.918,1204.84265
44278,17868,14.833,1204.61134
3842,15345,12.74,1204.474097
38127,45248,37.584,1203.91656
98327,8267,6.868,1203.698311
60185,36527,30.347,1203.644512
7852,3609,3,1203
95070,30617,25.466,1202.269693
15101,24292,20.207,1202.157668
70580,179,0.149,1201.342282
48042,27291,22.724,1200.976941
15752,54,0.045,1200
34229,7192,5.999,1198.866478
76903,31905,26.619,1198.579962
94506,22452,18.736,1198.334757
87123,41468,34.614,1198.012365
29607,34487,28.802,1197.382126
12065,41776,34.896,1197.157267
78746,26928,22.494,1197.119232
34986,23297,19.467,1196.743206
7403,7603,6.354,1196.56909
13628,220,0.184,1195.652174
14051,19533,16.338,1195.556372
60047,41669,34.874,1194.844297
48134,21408,17.919,1194.709526
21037,20618,17.262,1194.415479
37406,14627,12.259,1193.164206
77521,49507,41.499,1192.968505
62062,7658,6.421,1192.64912
30188,52380,43.969,1191.293866
95829,24755,20.783,1191.11774
63124,10417,8.753,1190.106249
6357,12552,10.554,1189.312109
30127,60347,50.768,1188.681847
34224,15394,12.953,1188.450552
2038,31635,26.626,1188.12439
28083,23820,20.052,1187.91143
14580,50587,42.596,1187.599775
18914,21063,17.744,1187.049143
33584,25392,21.393,1186.930304
45316,115,0.097,1185.56701
80026,26378,22.254,1185.315
17249,371,0.313,1185.303514
33908,38251,32.3,1184.241486
92386,2270,1.917,1184.141888
12084,4271,3.607,1184.086498
8821,354,0.299,1183.946488
3878,11824,9.987,1183.939121
91739,34794,29.393,1183.751233
14526,19804,16.73,1183.741781
76063,61361,51.839,1183.684099
12456,639,0.54,1183.333333
78221,35990,30.426,1182.869914
76092,26669,22.557,1182.293745
64125,1953,1.652,1182.20339
31501,15576,13.176,1182.149362
95007,676,0.572,1181.818182
89011,19550,16.546,1181.554454
93955,33359,28.24,1181.267705
68522,12728,10.779,1180.814547
15449,184,0.156,1179.487179
48326,20298,17.21,1179.430564
44203,41248,35.004,1178.379614
62206,16509,14.01,1178.372591
27105,39568,33.648,1175.939135
30741,29290,24.916,1175.549847
45245,18542,15.775,1175.40412
32608,45842,39.004,1175.315352
27948,10862,9.246,1174.778283
48306,26691,22.73,1174.263088
35802,21297,18.137,1174.229476
19544,196,0.167,1173.652695
75022,22545,19.211,1173.546406
17270,115,0.098,1173.469388
3854,968,0.825,1173.333333
28428,6033,5.144,1172.822706
55016,34204,29.176,1172.333425
46957,558,0.476,1172.268908
70811,13676,11.667,1172.19508
33971,19730,16.835,1171.963172
54214,334,0.285,1171.929825
94507,14889,12.705,1171.900826
55331,17524,14.959,1171.468681
84104,24869,21.233,1171.242877
73105,5210,4.449,1171.049674
23238,25134,21.468,1170.765791
17070,15692,13.404,1170.695315
95212,25239,21.565,1170.368653
48170,39963,34.152,1170.151089
22801,37989,32.469,1170.008316
92064,47904,40.954,1169.702593
81077,532,0.455,1169.230769
47881,465,0.398,1168.341709
52168,188,0.161,1167.701863
47683,210,0.18,1166.666667
10925,4539,3.891,1166.538165
47715,27063,23.218,1165.604273
94957,1332,1.144,1164.335664
3079,28776,24.725,1163.842265
27614,31516,27.081,1163.767955
49525,27383,23.537,1163.402303
15076,849,0.73,1163.013699
33762,8499,7.308,1162.972085
6457,47648,41.018,1161.636355
30519,39812,34.292,1160.970489
75104,45373,39.086,1160.850432
62269,31348,27.018,1160.263528
45434,12163,10.486,1159.927522
77049,28521,24.59,1159.861732
15754,502,0.433,1159.353349
10994,7085,6.112,1159.195026
36602,1057,0.912,1158.991228
8810,8401,7.249,1158.918472
7728,56257,48.564,1158.409521
80526,44183,38.173,1157.441123
78410,26387,22.803,1157.172302
94949,17202,14.866,1157.137091
18049,17341,14.994,1156.529278
58501,28055,24.258,1156.525682
37214,28973,25.071,1155.637988
77707,17080,14.78,1155.615697
33558,20064,17.378,1154.563241
31699,621,0.538,1154.275093
6489,32067,27.798,1153.572199
2048,23184,20.101,1153.375454
77375,39351,34.123,1153.210445
45066,23839,20.681,1152.700546
27282,15906,13.8,1152.608696
48051,17319,15.027,1152.525454
24077,932,0.809,1152.039555
43322,374,0.325,1150.769231
7738,6095,5.298,1150.434126
32507,28996,25.205,1150.406665
7920,26747,23.252,1150.309651
72202,9978,8.677,1149.936614
45140,53267,46.33,1149.730196
45011,69677,60.621,1149.387176
98391,44309,38.575,1148.645496
45050,8548,7.444,1148.307362
60084,16771,14.61,1147.912389
1940,12108,10.548,1147.895336
27127,34138,29.741,1147.843045
29609,27722,24.157,1147.576272
92610,11248,9.804,1147.286822
2021,21561,18.797,1147.044741
44087,20221,17.635,1146.640204
40056,3263,2.846,1146.521434
44720,39010,34.038,1146.072037
18929,9306,8.125,1145.353846
11955,3285,2.869,1144.998257
19426,38831,33.921,1144.748091
6492,45241,39.547,1143.98058
44056,11157,9.755,1143.721169
48138,10371,9.068,1143.692104
10588,2282,1.996,1143.286573
18062,24351,21.301,1143.185766
1747,5911,5.171,1143.105782
21219,9379,8.207,1142.804923
7731,38304,33.518,1142.788949
30288,8929,7.814,1142.692603
14539,242,0.212,1141.509434
44905,14513,12.719,1141.048825
88032,195,0.171,1140.350877
45506,14055,12.327,1140.180092
31904,32871,28.831,1140.126947
91311,36557,32.078,1139.628406
47997,139,0.122,1139.344262
6483,16540,14.518,1139.275382
29577,26996,23.704,1138.879514
49015,26782,23.519,1138.738892
77568,14308,12.568,1138.446849
48198,38186,33.576,1137.300453
10546,1277,1.123,1137.13268
30518,45211,39.761,1137.068987
27555,441,0.388,1136.597938
52802,10868,9.563,1136.463453
48842,20432,17.98,1136.373749
29681,46979,41.349,1136.158069
19460,40154,35.357,1135.673275
78754,15036,13.249,1134.878104
23834,25612,22.582,1134.177664
77703,15006,13.232,1134.068924
62018,3604,3.178,1134.04657
29301,31051,27.384,1133.910313
19605,18985,16.747,1133.635875
1864,14892,13.14,1133.333333
45826,306,0.27,1133.333333
70448,24851,21.949,1132.215591
19382,52388,46.284,1131.881428
15131,8240,7.288,1130.625686
60050,31620,27.979,1130.133314
1588,9733,8.613,1130.035992
17235,672,0.595,1129.411765
7417,10580,9.376,1128.412969
34119,25756,22.831,1128.115282
16853,300,0.266,1127.819549
98583,124,0.11,1127.272727
6473,24388,21.647,1126.622627
70558,134,0.119,1126.05042
66226,12877,11.437,1125.907143
7856,3944,3.508,1124.287343
33980,10322,9.184,1123.91115
88063,12772,11.369,1123.405752
97124,48349,43.084,1122.203138
15004,351,0.313,1121.405751
78260,24844,22.163,1120.967378
20612,261,0.233,1120.171674
92881,30991,27.68,1119.617052
15067,2281,2.038,1119.234544
10545,141,0.126,1119.047619
15082,350,0.313,1118.210863
92260,31753,28.397,1118.181498
45131,238,0.213,1117.370892
71021,772,0.691,1117.221418
98335,24925,22.316,1116.911633
20755,9302,8.33,1116.686675
43738,164,0.147,1115.646259
7458,11360,10.185,1115.365734
95336,42675,38.291,1114.491656
60544,25959,23.298,1114.215813
60404,17395,15.612,1114.20702
8060,24713,22.187,1113.850453
60510,28897,25.95,1113.564547
47351,471,0.423,1113.475177
95747,51870,46.621,1112.588748
17025,16778,15.094,1111.56751
99124,240,0.216,1111.111111
47857,571,0.514,1110.894942
2644,3955,3.562,1110.331275
78219,15225,13.716,1110.017498
27265,46690,42.072,1109.764214
2725,2631,2.373,1108.723135
2882,14184,12.795,1108.55803
48173,12700,11.469,1107.33281
98501,38133,34.442,1107.16567
1862,10227,9.241,1106.698409
43151,322,0.291,1106.52921
66501,260,0.235,1106.382979
44505,19357,17.502,1105.987887
15647,314,0.284,1105.633803
29617,25685,23.241,1105.158986
60523,9890,8.95,1105.027933
2053,12752,11.543,1104.738803
19335,46984,42.532,1104.674128
28134,9453,8.561,1104.193435
29905,3054,2.768,1103.323699
47337,203,0.184,1103.26087
15031,513,0.465,1103.225806
20765,514,0.466,1103.004292
17016,799,0.725,1102.068966
8553,682,0.619,1101.77706
11786,6344,5.758,1101.771448
72758,33487,30.402,1101.473587
61524,262,0.238,1100.840336
96002,33298,30.25,1100.760331
6801,18581,16.886,1100.379012
85268,22684,20.631,1099.510445
63138,20175,18.353,1099.275323
78236,10392,9.454,1099.217263
1930,28789,26.193,1099.110449
97070,20957,19.08,1098.375262
63057,56,0.051,1098.039216
33182,16929,15.418,1098.002335
40807,337,0.307,1097.71987
73104,1664,1.516,1097.62533
37042,66916,60.972,1097.487371
98383,19727,17.975,1097.468707
98345,554,0.505,1097.029703
23708,181,0.165,1096.969697
26560,227,0.207,1096.618357
21826,4837,4.411,1096.57674
22079,32059,29.24,1096.409029
40272,37394,34.109,1096.308892
67209,13654,12.459,1095.9146
17512,17836,16.279,1095.644696
32254,13570,12.386,1095.591797
12054,16918,15.447,1095.228847
73142,10707,9.779,1094.897229
85140,36711,33.536,1094.67438
33965,1648,1.506,1094.289509
45816,291,0.266,1093.984962
46958,460,0.421,1092.63658
43330,118,0.108,1092.592593
66614,31354,28.703,1092.359684
15358,923,0.845,1092.307692
18512,12218,11.193,1091.575092
43972,144,0.132,1090.909091
30605,39952,36.634,1090.5716
20855,14295,13.109,1090.472195
33954,9290,8.524,1089.863914
65278,123,0.113,1088.495575
27502,30831,28.335,1088.088936
16136,801,0.737,1086.838535
33573,19172,17.643,1086.663266
28601,50026,46.053,1086.270167
92391,2534,2.334,1085.689803
12144,20555,18.933,1085.670522
15353,64,0.059,1084.745763
55071,5569,5.134,1084.729256
1720,21361,19.713,1083.599655
15675,1003,0.926,1083.153348
45621,313,0.289,1083.044983
98390,10461,9.665,1082.359027
53051,35651,32.957,1081.742877
3820,30039,27.77,1081.706878
47150,47472,43.893,1081.539198
50032,399,0.369,1081.300813
10598,28647,26.494,1081.263682
28088,2862,2.648,1080.81571
84087,13983,12.962,1078.768709
39440,21305,19.756,1078.40656
44437,4252,3.943,1078.366726
45322,21447,19.895,1078.00955
1845,28352,26.307,1077.735964
89519,8392,7.79,1077.278562
34201,3682,3.418,1077.238151
1810,33201,30.849,1076.242342
17551,10857,10.088,1076.229183
92134,198,0.184,1076.086957
45041,199,0.185,1075.675676
78596,63844,59.356,1075.611564
44685,27556,25.621,1075.523984
74011,25448,23.662,1075.479672
75087,28145,26.19,1074.646812
78594,1990,1.852,1074.514039
60910,538,0.501,1073.852295
71106,34814,32.447,1072.949733
79835,12690,11.828,1072.877917
50320,20027,18.667,1072.855842
5403,17593,16.401,1072.678495
15466,458,0.427,1072.599532
12182,14733,13.74,1072.270742
4240,36592,34.147,1071.602191
94947,24283,22.695,1069.971359
78557,12547,11.73,1069.650469
48509,9470,8.86,1068.848758
35757,12840,12.016,1068.575233
48168,21781,20.401,1067.643743
19438,23765,22.307,1065.360649
92253,37262,34.983,1065.145928
75069,34108,32.041,1064.511095
68110,9173,8.619,1064.276598
49002,18786,17.662,1063.639452
33543,21898,20.591,1063.474333
32836,16647,15.658,1063.162601
84062,43269,40.699,1063.146515
35810,30617,28.802,1063.016457
92583,30236,28.45,1062.776801
44139,24356,22.93,1062.189272
14075,41937,39.482,1062.180234
78732,14060,13.252,1060.971929
28214,34721,32.731,1060.798631
45342,36784,34.687,1060.454925
10589,8475,7.996,1059.904952
68364,142,0.134,1059.701493
94022,18500,17.474,1058.715806
98258,30524,28.842,1058.317731
10541,26339,24.89,1058.216151
27879,311,0.294,1057.823129
98443,5371,5.079,1057.491632
60048,29095,27.519,1057.269523
14085,7353,6.955,1057.225018
66220,7133,6.751,1056.58421
74037,15159,14.361,1055.567161
44490,798,0.756,1055.555556
11944,4299,4.073,1055.487356
72719,8975,8.507,1055.013518
27705,46282,43.879,1054.764238
46967,98,0.093,1053.763441
77651,13043,12.381,1053.469025
62362,399,0.379,1052.770449
36115,623,0.592,1052.364865
27878,1931,1.836,1051.742919
28098,3579,3.403,1051.719071
99354,21343,20.294,1051.690155
8086,7699,7.322,1051.488664
11545,12065,11.477,1051.232901
83201,37199,35.397,1050.908269
38106,27222,25.928,1049.907436
8738,1042,0.993,1049.345418
6089,2813,2.682,1048.844146
18218,2281,2.175,1048.735632
29816,1033,0.985,1048.730964
40363,22,0.021,1047.619048
49119,136,0.13,1046.153846
46514,40263,38.507,1045.602098
85259,21422,20.49,1045.485603
8550,19445,18.618,1044.419379
73134,4312,4.13,1044.067797
32506,33846,32.447,1043.116467
11946,14068,13.487,1043.07852
2066,17656,16.927,1043.067289
54232,779,0.747,1042.838019
44514,22472,21.556,1042.493969
48386,17434,16.727,1042.266993
63663,723,0.694,1041.786744
8026,2274,2.183,1041.685754
55449,23277,22.349,1041.523111
31206,29072,27.925,1041.074306
45247,22082,21.214,1040.916376
13209,13243,12.723,1040.870864
48724,359,0.345,1040.57971
80216,10924,10.503,1040.083786
1501,16075,15.457,1039.981885
79906,4374,4.207,1039.695745
67235,11446,11.011,1039.505949
21914,765,0.736,1039.402174
89015,38993,37.516,1039.369869
2639,2875,2.767,1039.031442
33534,12839,12.364,1038.417988
84113,245,0.236,1038.135593
36618,16737,16.128,1037.760417
19501,1047,1.009,1037.661051
32773,28787,27.743,1037.631114
45779,755,0.728,1037.087912
23237,21192,20.446,1036.486354
55301,10535,10.165,1036.39941
62030,114,0.11,1036.363636
13905,28026,27.046,1036.234563
33446,22088,21.318,1036.119711
25040,546,0.527,1036.053131
46123,31754,30.652,1035.951977
45630,118,0.114,1035.087719
41526,125,0.121,1033.057851
47916,64,0.062,1032.258065
44613,2011,1.949,1031.811185
19373,4273,4.143,1031.378228
1438,559,0.542,1031.365314
2081,18472,17.92,1030.803571
92532,18644,18.087,1030.795599
42631,134,0.13,1030.769231
94599,3021,2.932,1030.354707
32735,3903,3.79,1029.815303
45102,22680,22.032,1029.411765
17313,10899,10.592,1028.984139
48094,18028,17.523,1028.819266
47982,143,0.139,1028.776978
35127,10099,9.817,1028.72568
24078,7115,6.923,1027.733641
21076,12952,12.603,1027.691819
43054,20566,20.017,1027.426687
14126,588,0.573,1026.17801
68382,41,0.04,1025
78215,1150,1.122,1024.955437
12565,1487,1.451,1024.810476
15642,45286,44.202,1024.523777
21030,24355,23.778,1024.266128
49254,3321,3.243,1024.051804
29316,22281,21.775,1023.237658
20764,4176,4.083,1022.77737
17050,32815,32.092,1022.528979
99223,29273,28.629,1022.494673
23456,51748,50.61,1022.485675
4092,17515,17.138,1021.997899
94563,17672,17.292,1021.97548
78573,34890,34.142,1021.9085
77571,35666,34.952,1020.428016
39216,3454,3.385,1020.384047
29841,32494,31.847,1020.315885
30253,49380,48.403,1020.184699
34135,37315,36.593,1019.73055
23891,2358,2.314,1019.014693
77389,21255,20.867,1018.593952
12590,35102,34.462,1018.57118
44011,21193,20.807,1018.551449
85122,50942,50.019,1018.452988
4057,56,0.055,1018.181818
15108,40153,39.469,1017.330057
60484,6829,6.717,1016.67411
26101,29999,29.509,1016.605104
28557,14429,14.196,1016.413074
20155,29411,28.94,1016.275052
80303,22361,22.007,1016.085791
84403,36582,36.016,1015.715238
21042,38076,37.488,1015.685019
2865,16951,16.691,1015.577257
28806,38550,37.962,1015.489173
2322,4356,4.29,1015.384615
10962,5950,5.863,1014.83882
37604,34245,33.777,1013.855582
39309,601,0.593,1013.490725
43525,1152,1.137,1013.192612
19367,171,0.169,1011.83432
7439,2456,2.428,1011.532125
49085,23804,23.533,1011.515744
70451,182,0.18,1011.111111
8360,43355,42.884,1010.983117
67482,99,0.098,1010.204082
18915,1063,1.053,1009.496676
67230,9959,9.869,1009.119465
7430,25890,25.663,1008.845419
29732,53781,53.329,1008.475689
34145,16407,16.276,1008.048661
2871,17171,17.038,1007.806081
60136,7013,6.961,1007.470191
75241,27066,26.867,1007.406856
78521,93818,93.163,1007.030688
90272,22986,22.832,1006.744919
44054,12591,12.507,1006.716239
10510,9988,9.923,1006.550438
92675,34731,34.544,1005.413386
92223,43605,43.381,1005.163551
79416,32296,32.142,1004.791239
60537,665,0.662,1004.531722
15090,21202,21.126,1003.597463
53132,34863,34.792,1002.040699
20152,24946,24.911,1001.405002
99208,49193,49.155,1000.773065
2043,22157,22.157,1000
25855,209,0.209,1000
28089,248,0.248,1000
45001,606,0.606,1000
45787,29,0.029,1000
54931,260,0.26,1000
62841,98,0.098,1000
11961,12834,12.836,999.8441882
8809,6421,6.425,999.3774319
44321,15200,15.219,998.7515605
98565,618,0.619,998.3844911
37075,59256,59.379,997.9285606
34667,32144,32.237,997.1151162
7866,22098,22.168,996.8422952
95991,40593,40.727,996.7097994
7828,14150,14.203,996.268394
94535,3793,3.811,995.2768302
37130,52070,52.332,994.993503
1745,397,0.399,994.9874687
64841,384,0.386,994.8186528
46143,48555,48.814,994.6941451
1966,6952,6.992,994.2791762
68138,12013,12.083,994.2067367
17861,143,0.144,993.0555556
92399,52606,53.035,991.9110022
12553,24438,24.669,990.6360209
8004,12350,12.48,989.5833333
1075,17527,17.718,989.2200023
60045,20925,21.155,989.1278658
17933,89,0.09,988.8888889
58104,28322,28.646,988.6895204
62034,13819,13.982,988.3421542
21703,32854,33.257,987.8822504
8072,225,0.228,986.8421053
44420,15429,15.639,986.5720315
85248,29821,30.229,986.5030269
2858,570,0.578,986.1591696
47344,140,0.142,985.915493
26105,12333,12.515,985.4574511
48437,581,0.59,984.7457627
45226,5476,5.563,984.3609563
63048,3357,3.411,984.1688654
1030,11669,11.867,983.3150754
64743,292,0.297,983.1649832
64090,116,0.118,983.0508475
62040,43735,44.5,982.8089888
6095,29079,29.588,982.7970799
3874,8776,8.935,982.2048125
44706,18246,18.582,981.9179851
53092,20024,20.394,981.857409
33050,8922,9.087,981.8421921
29333,374,0.381,981.6272966
43123,58424,59.531,981.4046463
26037,6642,6.768,981.3829787
34753,5353,5.458,980.762184
43505,96,0.098,979.5918367
76544,29943,30.586,978.9773099
45866,186,0.19,978.9473684
29466,28725,29.355,978.5385795
48708,27262,27.864,978.3950617
15347,582,0.595,978.1512605
80134,55075,56.353,977.3215268
16803,23685,24.24,977.1039604
12180,53606,54.895,976.5188086
29320,530,0.543,976.0589319
37209,35457,36.332,975.9165474
66616,5874,6.019,975.9096195
12884,486,0.498,975.9036145
15006,240,0.246,975.6097561
10577,6552,6.717,975.4354623
48360,11651,11.946,975.3055416
4489,197,0.202,975.2475248
32132,7265,7.45,975.1677852
25143,8579,8.801,974.7755937
8243,2114,2.169,974.6426925
94005,4282,4.396,974.0673339
49442,41214,42.313,974.0268948
20732,9919,10.187,973.6919603
85143,35015,35.962,973.6666481
46845,22117,22.733,972.9028285
2324,26563,27.316,972.4337385
7069,6157,6.333,972.2090636
14534,31426,32.349,971.4674333
98385,459,0.473,970.4016913
78572,75221,77.522,970.3181032
78574,57071,58.828,970.1332699
22407,54962,56.703,969.2961572
94510,27088,27.95,969.1592129
18037,7070,7.296,969.0241228
27455,28706,29.65,968.1618887
15007,323,0.334,967.0658683
8036,5917,6.12,966.8300654
48519,7465,7.722,966.7184667
63304,40336,41.752,966.085457
55055,3418,3.541,965.2640497
1730,13221,13.698,965.1773982
3910,328,0.34,964.7058824
27203,21108,21.881,964.672547
60041,9250,9.597,963.8428676
33936,18994,19.713,963.5266068
29572,7893,8.194,963.2658042
15025,15944,16.557,962.9763846
33839,2756,2.862,962.962963
78526,42460,44.102,962.7681284
91302,25709,26.712,962.4513327
62822,2574,2.675,962.2429907
87402,11034,11.469,962.0716715
50313,17376,18.065,961.8599502
12524,15598,16.217,961.8301782
21702,38847,40.399,961.5832075
94553,47065,48.952,961.4520346
46984,224,0.233,961.3733906
13062,173,0.18,961.1111111
36066,19089,19.866,960.8879493
66211,4276,4.451,960.6829926
19034,5999,6.245,960.6084868
19560,7805,8.129,960.142699
45330,834,0.869,959.7238205
92345,78715,82.023,959.6698487
19545,428,0.446,959.6412556
45150,31394,32.724,959.3570468
28104,28040,29.231,959.2555848
1242,476,0.497,957.7464789
3609,854,0.892,957.3991031
75569,2874,3.004,956.7243675
95736,240,0.251,956.1752988
55129,18697,19.561,955.830479
58102,29850,31.248,955.2611367
45417,31281,32.769,954.5912295
45164,271,0.284,954.2253521
30337,11505,12.058,954.1383314
67843,165,0.173,953.7572254
13103,326,0.342,953.2163743
95673,15455,16.216,953.0710409
15620,911,0.956,952.9288703
67205,16811,17.648,952.5725295
37343,40042,42.056,952.1114704
97504,44444,46.725,951.1824505
55802,2442,2.569,950.564422
46930,133,0.14,950
92240,34722,36.581,949.181269
12504,1395,1.47,948.9795918
63034,17761,18.723,948.6193452
99563,938,0.989,948.4327604
85253,17047,17.979,948.1617443
8048,12495,13.185,947.6678043
43948,670,0.707,947.6661952
15367,8731,9.214,947.5797699
62535,3534,3.73,947.4530831
83354,18,0.019,947.3684211
63882,431,0.455,947.2527473
76140,26340,27.865,945.2718464
94588,30842,32.643,944.8273749
36695,45118,47.753,944.8202207
79705,33536,35.565,942.949529
32713,19491,20.671,942.9151952
44240,37927,40.231,942.73073
80528,17946,19.037,942.69055
26361,263,0.279,942.6523297
95120,37457,39.742,942.5041518
12527,147,0.156,942.3076923
11940,5210,5.529,942.3042141
79849,13208,14.018,942.2171494
30281,66140,70.247,941.5348698
33966,8251,8.764,941.4650844
43971,1150,1.222,941.0801964
2921,12361,13.143,940.5006467
30429,205,0.218,940.3669725
14086,31847,33.877,940.0773386
7733,16849,17.925,939.972106
95762,38797,41.282,939.804273
46168,30309,32.255,939.6682685
50142,931,0.991,939.4550959
8009,12854,13.684,939.3452207
34748,38246,40.718,939.289749
55386,6330,6.742,938.8905369
46619,21408,22.805,938.7415041
72022,14270,15.22,937.5821288
35242,49545,52.852,937.4290472
34758,30879,32.963,936.7775991
15065,11588,12.38,936.0258481
11771,10007,10.7,935.2336449
79424,39023,41.738,934.9513633
43348,1984,2.123,934.5266133
48864,20148,21.564,934.3350028
29338,85,0.091,934.0659341
53545,23117,24.771,933.2283719
64057,14141,15.155,933.091389
64064,16223,17.387,933.0534307
92530,50216,53.871,932.1527352
78226,6648,7.138,931.3533203
29150,40031,42.983,931.3216853
25818,472,0.507,930.9664694
10520,12810,13.761,930.8916503
10514,11946,12.833,930.8813216
92325,9391,10.09,930.7234886
30040,54653,58.733,930.5330904
44077,56491,60.732,930.1686096
28628,479,0.515,930.0970874
33170,12253,13.174,930.0895704
48439,49209,52.908,930.0861873
75054,5053,5.434,929.8859036
12449,3367,3.621,929.8536316
25265,1564,1.682,929.8454221
32547,32485,34.94,929.7366915
1009,741,0.797,929.7365119
40245,30109,32.385,929.7205496
18040,15742,16.94,929.2798111
11970,522,0.562,928.8256228
45414,21055,22.677,928.473784
33823,28874,31.114,928.0066851
19342,18099,19.504,927.9634947
80022,42699,46.04,927.4326672
28667,559,0.603,927.0315091
24246,455,0.491,926.6802444
66778,139,0.15,926.6666667
36117,50268,54.269,926.2746688
14441,325,0.351,925.9259259
27858,55781,60.245,925.9025645
57104,25901,27.984,925.5646083
98446,10173,10.993,925.4070772
23665,5120,5.535,925.0225836
3038,33269,35.986,924.4984161
17306,318,0.344,924.4186047
30004,53033,57.407,923.8072012
68046,25191,27.274,923.6268974
6355,12985,14.059,923.6076535
54474,4019,4.352,923.4834559
61244,24053,26.047,923.4460782
78154,30347,32.863,923.4397347
33950,20699,22.433,922.7031605
41051,26796,29.06,922.092223
96019,10082,10.94,921.5722121
28311,34567,37.518,921.3444213
76127,2003,2.175,920.9195402
46561,13343,14.503,920.0165483
14586,10256,11.149,919.9031303
80602,27665,30.086,919.5306787
74463,2033,2.211,919.4934419
56035,546,0.594,919.1919192
74108,7490,8.149,919.1311817
17886,895,0.974,918.8911704
2553,226,0.246,918.699187
15715,621,0.676,918.6390533
44809,293,0.319,918.4952978
2356,12564,13.707,916.6119501
17876,1698,1.853,916.3518618
12172,405,0.442,916.2895928
29445,53588,58.488,916.222131
55364,14353,15.667,916.1294441
52328,2826,3.085,916.0453809
6074,25705,28.061,916.0400556
33931,10005,10.928,915.5380673
8204,18557,20.275,915.2651048
18634,13569,14.829,915.0313575
54952,25729,28.13,914.6462851
28401,22094,24.161,914.4489053
76060,6764,7.4,914.0540541
