ZIP,INCOME
01931,63917
01936,114907
01937,
01938,77788
01940,112151
01944,92604
01945,103148
01949,106326
01950,87162
01951,93040
01952,65903
01960,63822
01961,63822
01965,73839
01966,68448
01969,85496
01970,61035
01971,61035
01982,114907
01983,128283
01984,99375
01985,138947
02018,118148
02019,90630
02020,84747
02021,93672
02025,128224
02026,87108
02027,87108
02030,189265
02032,100658
02035,95665
02038,108815
02040,110492
02041,84747
02043,118148
02044,118148
02045,78114
02047,
02048,102090
02050,84747
02051,84747
02052,147630
02053,109865
02054,97591
02055,110492
02056,138452
02059,84747
02060,110492
02061,114560
02062,83883
02065,84747
02066,110492
02067,129609
02070,99924
02071,105865
02072,75109
02081,95592
02090,140355
02093,99924
02108,115042
02109,117344
02110,120800
02111,39670
02112,117344
02113,86094
02114,86863
02115,35274
02116,100674
02117,100674
02118,59589
02119,30278
02120,29592
02121,26313
02122,53103
02123,35274
02124,50044
02125,49683
02126,47902
02127,85336
02128,52152
02129,90674
02130,79419
02131,68655
02132,91273
02133,115042
02134,47485
02135,57330
02136,62114
02137,62114
02138,84305
02139,82953
02140,85417
02141,73322
02142,113950
02143,80961
02144,93234
02145,62752
02148,60045
02149,52427
02150,49643
02151,51468
02152,62997
02153,79572
02155,79572
02156,79572
02163,51500
02169,62157
02170,71065
02171,73280
02176,87712
02180,83783
02184,85863
02185,85863
02186,122516
02187,122516
02188,75129
02189,51653
02190,80139
02191,70731
02196,39670
02199,99250
02201,
02203,
02204,49643
02205,39670
02206,49643
02210,155313
02211,117344
02212,117344
02215,40115
02217,100674
02222,86863
02228,52152
02238,82953
02241,120800
02266,39670
02269,62157
02283,39670
02284,39670
02293,39670
02297,39670
02298,39670
02301,44873
02302,61527
02303,61527
02304,44873
02305,44873
02322,68021
02324,85992
02325,85992
02327,93075
02330,75260
02331,119428
02332,119428
02333,82823
02334,109024
02337,82823
02338,73119
02339,105635
02340,105635
02341,93517
02343,66815
02344,76968
02345,80905
02346,76968
02347,93676
02348,93676
02349,93676
02350,93517
02351,76989
02355,75260
02356,109024
02357,
02358,93075
02359,93075
02360,80905
02361,80905
02362,80905
02364,88694
02366,
02367,84602
02368,65473
02370,70750
02375,90313
02379,80709
02381,80905
02382,75898
02420,156042
02421,149414
02445,102539
02446,93750
02447,102539
02451,91359
02452,83283
02453,75550
02454,91359
02455,91359
02456,91991
02457,
02458,100768
02459,150282
02460,121250
02461,156000
02462,106324
02464,95750
02465,133958
02466,107717
02467,108413
02468,190139
02471,91991
02472,91991
02474,100157
02475,96442
02476,96442
02477,91991
02478,114082
02479,114082
02481,179655
02482,158468
02492,144898
02493,191744
02494,125481
02495,100768
02532,70574
02534,85234
02535,71667
02536,67471
02537,95465
02538,65273
02539,70556
02540,64509
02541,64509
02542,44405
02543,71250
02552,71667
02553,38947
02554,90469
02556,80821
02557,57773
02558,46194
02559,75505
02561,80938
02562,71042
02563,82041
02564,59750
02568,46816
02571,58927
02574,64509
02575,85469
02576,82029
02584,
02601,43052
02630,81833
02631,67569
02632,71412
02633,62824
02634,71412
02635,63712
02637,140179
02638,69375
02639,47600
02641,
02642,57402
02643,
02644,93800
02645,76221
02646,66844
02647,78050
02648,76364
02649,70995
02650,70771
02651,
02652,60662
02653,49934
02655,68684
02657,42228
02659,52118
02660,52650
02661,76221
02662,49934
02663,60568
02664,52696
02666,62439
02667,47115
02668,95957
02669,104653
02670,54375
02671,45250
02672,
02673,66518
02675,64063
02702,99120
02703,69732
02712,95221
02713,49375
02714,63887
02715,99830
02717,81335
02718,89113
02719,60407
02720,45382
02721,32641
02722,45382
02723,34810
02724,33853
02725,64028
02726,69930
02738,75449
02739,84489
02740,36105
02741,36105
02742,36105
02743,70175
02744,32221
02745,52777
02746,28351
02747,72759
02748,63887
02760,82442
02761,82442
02762,92014
02763,116174
02764,80500
02766,95221
02767,86124
02768,86124
02769,90394
02770,102616
02771,82094
